time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990482215818578,-0.043619387365336,0.0,0.0
0.01,-1.3202407081245663e-49,4.6877679991891926e-11,1000.0000000005358,-2.1681179998513785e-45,3.655705889973118e-08,4.178490952590548e-07,-3.432398148865791e-41,2.8520652729074002e-05,0.0003259925524022086,1.5912048668058544e-40,-4.724696770013191e-46,4.58015172704184e-40,0.9990482215818578,-0.043619387365336,6.144841115918733e-46,1.407378754835969e-44
0.02,-1.194010667612808e-46,1.0404543554558684e-07,1000.0000011892448,-1.9608212385325433e-42,6.083076938007398e-05,0.0006952988756314582,-3.1042218135070066e-38,0.038301748015629765,0.43779098310583375,1.439067568233434e-37,-4.272961975733334e-43,4.1422370842826645e-37,0.9990482215818578,-0.043619387365336,5.5573243561131855e-43,1.2728173251322213e-41
0.03,-2.045004377751056e-45,1.0976878094577383e-05,1000.0001254662908,-3.358335168649112e-41,0.002666693781955805,0.030480449403203304,-5.316658695205829e-37,0.4444292101314709,5.079849116677623,2.4647179097659946e-36,-7.318381806260453e-42,7.094486842380332e-36,0.9990482215818578,-0.043619387365336,9.518133250480624e-42,2.179978012404871e-40
0.04,-7.385697400151564e-45,6.376842694922671e-05,1000.0007288764555,-1.2128896932341291e-40,0.008189398291290787,0.09360525079759803,-1.9201539483185902e-36,0.6654426926815951,7.606044781840975,8.901526498581265e-36,-2.6430923115800823e-41,2.56223084885525e-35,0.9990482215818578,-0.043619387365336,3.4375501963315835e-41,7.873165511905923e-40
0.05,-6.928078928305675e-43,0.0001833878524090829,1000.0020961327449,-1.1377389393020723e-38,0.01598428976591724,0.18270126804692677,-1.8011810378497195e-34,0.8932012441814808,10.209336937885832,8.349987120147902e-34,-2.479326075429107e-39,2.4034747961708446e-33,0.9990482215818578,-0.043619387365336,3.224559278546825e-39,7.385343472233105e-38
0.06,-4.758888632706137e-42,0.0003926872548816519,1000.0044884358621,-7.81511435025741e-38,0.02606185038743897,0.29788831303516816,-1.2372289714322199e-33,1.1184817582031483,12.784304995946451,5.735595567043065e-33,-1.7030459380197908e-38,1.650943790458571e-32,0.9990482215818578,-0.043619387365336,2.214945680463894e-38,5.072983068227812e-37
0.07,-4.520439933663602e-41,0.0007141581850558447,1000.0081628654077,-7.42353051766248e-37,0.038632622151276,0.44157289178190073,-1.1752364220314611e-32,1.456975469555984,16.653305820865164,5.448208026221831e-32,-1.6177131808000512e-37,1.5682216615308892e-31,0.9990482215818578,-0.043619387365336,2.103963693550668e-37,4.818796364935311e-36
0.08,1.424328296863707e-39,0.0011844133755718313,1000.0135379068311,2.3390521130912578e-35,0.056188519786332776,0.6422377199725239,3.7030079283624785e-31,2.051919215832903,23.45354395801112,-1.716655231089107e-30,5.0971911881052235e-36,-4.941250234604459e-30,0.9990482215818578,-0.043619387365336,-6.629299511274303e-36,-1.51833629472403e-34
0.09,-1.146404171913432e-38,0.0018603304815073716,1000.0212636747042,-1.8826411766692122e-34,0.07967122669440167,0.9106462881421664,-2.9804531350327226e-30,2.6449194420754334,30.231567559512552,1.3816903890703812e-29,-4.1025943639195755e-35,3.977081615166998e-29,0.9990482215818578,-0.043619387365336,5.335747828167839e-35,1.2220687228302447e-33
0.1,7.883887797458351e-37,0.0027977045440698294,1000.0319779092665,1.2947032262593543e-32,0.1091425855983296,1.2475054618475137,2.0496748596929705e-28,3.245096291895306,37.09162034386024,-9.501964721635733e-28,2.82137787318427e-33,-2.7350620299102294e-27,0.9990482215818578,-0.043619387365336,-3.669424643020573e-33,-8.404237290497602e-32
0.11,1.6163045385047754e-36,0.0040572353886197945,1000.0463744126967,2.654318217586004e-32,0.1446801281669381,1.6537014321183165,4.202113047891063e-28,3.855117202364424,44.06419125630035,-1.948032379309522e-27,5.784209489555176e-33,-5.607250236946742e-27,0.9990482215818578,-0.043619387365336,-7.522821045382523e-33,-1.722983282395466e-31
0.12,6.883292601918654e-37,0.005702844108179163,1000.0651838064312,1.1303840653166394e-32,0.18634301642224102,2.129910423960531,1.7895373653861013e-28,4.474748269780873,51.1466067652862,-8.296008917480116e-28,2.4632985578469378e-33,-2.3879376165575244e-27,0.9990482215818578,-0.043619387365336,-3.2037142267225244e-33,-7.337601175032008e-32
0.13,-3.237648860025256e-36,0.007798219077311646,1000.0891340519223,-5.316912838258548e-32,0.23418484181770713,2.6767449904902847,-8.417328662448447e-28,5.102769784305437,58.324925523561355,3.9021388988973194e-27,-1.1586454664867765e-32,1.123198438477523e-26,0.9990482215818578,-0.043619387365336,1.5069098923825602e-32,3.4513389817309944e-31
0.14,-6.812824861731305e-36,0.010405074241706978,1000.1189305427971,-1.118811753164104e-31,0.2882120261950031,3.2942785336937086,-1.7712169682429662e-27,5.72961342830928,65.4897811601788,8.211078487408639e-27,-2.4380805273465634e-32,2.363491094045867e-26,0.9990482215818578,-0.043619387365336,3.170916187351047e-32,7.262482448703811e-31
0.15,-4.376951656417085e-36,0.013584129458442184,1000.1552673101977,-7.187892035413462e-32,0.3484072423640749,3.982313002882224,-1.1379319445847294e-27,6.341507513738313,72.48376256038297,5.27527043712978e-27,-1.566363559790076e-32,1.5184430055027413e-26,0.9990482215818578,-0.043619387365336,2.0371794578994844e-32,4.66583762663703e-31
0.16,-2.253544206097434e-36,0.017396047078667102,1000.1988377279706,-3.7008022299518747e-32,0.4147288832778281,4.740372827331379,-5.8588262835675735e-28,6.928018602127114,79.18761497681643,2.7160581295801412e-27,-8.064675605068443e-33,7.817948896746515e-27,0.9990482215818578,-0.043619387365336,1.0488747248097608e-32,2.4022818106029654e-31
0.17,-3.2278252924504663e-35,0.02190061224864114,1000.2503251434646,-5.3007804363786574e-31,0.48692808730178694,5.565613505542966,-8.391789080952838e-27,7.512422663306194,85.86738396203944,3.890299157524243e-26,-1.155129942559587e-31,1.1197904667556616e-25,0.9990482215818578,-0.043619387365336,1.5023376760005692e-31,3.440867042624455e-30
0.18,1.4359170829387499e-34,0.027153964294948298,1000.3103712321187,2.3580833818069595e-30,0.564985813007913,6.457817392998584,3.733136773524421e-26,8.099518502836771,92.57792011460754,-1.7306224816741725e-25,5.138663549773958e-31,-4.981453811292625e-25,0.9990482215818578,-0.043619387365336,-6.683237591443537e-31,-1.5306899596398192e-29
0.19,4.6673487597601906e-32,0.03329144020753081,1000.3805229028062,7.664786273705262e-28,0.647738844606952,7.403688872387663,1.2134301831875066e-23,8.33245512170906,95.24039785154618,-5.625268192313584e-23,1.6702869010219468e-28,-1.6191869672833375e-22,0.9990482215818578,-0.043619387365336,-2.172339966857072e-28,-4.975401413903945e-27
0.2,-7.474530712456858e-31,0.04022824575645985,1000.4598109530446,-1.2274780256655025e-26,0.7314860751214491,8.360924097379776,-1.943249077474805e-22,8.411451275738267,96.143328023817,9.008591822355027e-22,-2.674882761695397e-27,2.5930487176173647e-21,0.9990482215818578,-0.043619387365336,3.478896186237631e-27,7.967861968158787e-26
0.21,-5.042628983711349e-31,0.04796029647194202,1000.5481886971302,-8.281076775527902e-27,0.8156778051171752,9.323239974690887,-1.3109965692312828e-22,8.422960994895401,96.27488471577315,6.077570348346432e-22,-1.8045870518232786e-27,1.749378405501918e-21,0.9990482215818578,-0.043619387365336,2.347007914598363e-27,5.375450746611777e-26
