time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990482215818578,-0.043619387365336,0.0,0.0
0.01,2.8247507533655307e-41,6.468969474818268e-16,1000.0,2.767383257675595e-38,-9.56201615408483e-13,-1.0929434476103854e-11,2.619508377275468e-35,-2.940205142622864e-09,-3.3606698561027224e-08,-8.491248890634674e-36,2.545075637028893e-41,-1.2992518207511797e-35,0.9990482215818578,-0.043619387365336,-2.8921259679253657e-40,-6.623939425860915e-39
0.02,-2.5332003798245553e-39,-5.801289161940634e-14,999.9999999999993,-2.4817539427546e-36,8.575093899720707e-11,9.801377177489744e-10,-2.3491416396160665e-33,2.6367384007882217e-07,3.0138057829708673e-06,7.614843500550486e-34,-2.28239130929423e-39,1.1651524304908238e-33,0.9990482215818578,-0.043619387365336,2.593621611294407e-38,5.940264233767735e-37
0.03,-4.854807227477624e-39,-1.1118007393488392e-13,999.9999999999987,-4.756211578864746e-36,1.6433926100842693e-10,1.8784063487234684e-09,-4.50206383245789e-33,5.053234930432553e-07,5.775873955298466e-06,1.4593633238419099e-33,-4.374138703177188e-39,2.232981838196211e-33,0.9990482215818578,-0.043619387365336,4.970602816949805e-38,1.1384349206997891e-36
0.04,1.5174330585198108e-40,3.4750776237334713e-15,1000.0,1.4866157078772188e-37,-5.136637064711385e-12,-5.871203030995362e-11,1.4071785285875208e-34,-1.579454214475454e-08,-1.805324428127126e-07,-4.5614296268147267e-35,1.3671938677986688e-40,-6.979474779503751e-35,0.9990482215818578,-0.043619387365336,-1.553626474089719e-39,-3.5583262170860385e-38
0.05,7.158179665774534e-38,1.6392966953983246e-12,1000.0000000000188,7.012805125866978e-35,-2.42310333102585e-09,-2.7696197808620597e-08,6.638076502218358e-32,-7.450751766347183e-06,-8.51624823842396e-05,-2.151761003109871e-32,6.449457054266686e-38,-3.2924242795371993e-32,0.9990482215818578,-0.043619387365336,-7.328914690896612e-37,-1.6785675142851877e-35
0.06,7.302993613899984e-34,1.2107993688115062e-06,1000.0000138395002,7.154678066353044e-31,0.000814452353163037,0.009309232994760564,6.772368474637151e-28,0.5048069338248212,5.769969656414291,-2.1952923226396933e-28,6.579933150551241e-34,-3.3590318503283426e-28,0.9990482215818578,-0.043619387365336,-7.477182703354828e-33,-1.7125258668676164e-31
0.07,-3.601269538659651e-31,6.465633841482997e-05,1000.0007390253296,-3.5281318239458117e-28,0.014884803858836539,0.17013408662284552,-3.3396064109749777e-25,2.3033314896356876,26.327199397133104,1.0825477588982582e-25,-3.244712247371483e-31,1.656413755990543e-25,0.9990482215818578,-0.043619387365336,3.687166075749129e-30,8.444848187705842e-29
0.08,-1.0678567507625146e-30,0.0003533156757752096,1000.0040384166534,-1.0461697868865517e-27,0.0468409713300804,0.5353947522149638,-9.902677965550744e-25,4.080472283604031,46.640011621562095,3.2099955861470666e-25,-9.621295602680816e-31,4.91163627826848e-25,0.9990482215818578,-0.043619387365336,1.0933269900804694e-29,2.504085864609462e-28
0.09,-2.0124426472477786e-30,0.001056340107814622,1000.0120740226819,-1.971572211243938e-27,0.0966839831684034,1.1051029844541485,-1.866221423950823e-24,5.857545654907991,66.95205320141076,6.049436884138911e-25,-1.8131931627333484e-30,9.256284896919741e-25,0.9990482215818578,-0.043619387365336,2.0604429017786037e-29,4.7191059874950665e-28
0.1,6.421951063271132e-29,0.0023604787982193956,1000.0269803961232,6.291528494304919e-26,0.1682162592468064,1.922720641365859,5.955341223875759e-23,8.529174553370492,97.48891124440584,-1.9304494308654068e-23,5.786121545007037e-29,-2.953793923867057e-23,0.9990482215818578,-0.043619387365336,-6.575125756742811e-28,-1.505924541776606e-26
0.11,1.4180353600878355e-26,0.004475579273209721,1000.0511561051778,1.389236664375979e-23,0.2551769270346706,2.9166856224642004,1.3150029256907865e-20,8.799113685980608,100.5743296487015,-4.262638451863597e-21,1.2776374138869147e-26,-6.5222923519485e-21,0.9990482215818578,-0.043619387365336,-1.4518579678083671e-25,-3.325242171458666e-24
0.12,-1.195346530733726e-24,0.00747053754902275,1000.0853886349149,-1.1710703934964338e-21,0.3441432762133123,3.933575646761803,-1.1084943502620525e-18,8.993956851738952,102.80139722415497,3.5932320368172775e-19,-1.0769967330932652e-24,5.498029001794306e-19,0.9990482215818578,-0.043619387365336,1.2238576228665756e-23,2.803044836100836e-22
0.13,-5.349116333096998e-24,0.011365611377898736,1000.1299095325021,-5.240481825143229e-21,0.43505641787057003,4.972717610912607,-4.96045714081997e-18,9.188630116517153,105.0265228225191,1.6079534831584535e-18,-4.819506868978901e-24,2.4603406608196484e-18,0.9990482215818578,-0.043619387365336,5.476702053790598e-23,1.2543486369585809e-21
0.14,1.638012430540084e-22,0.016179782502453065,1000.1849357602501,1.6047462491125336e-19,0.5279212067004866,6.034167004323442,1.5189967747663677e-16,9.386473716067135,107.28788551314254,-4.923893273449981e-17,1.4758348237100507e-22,-7.534082893000919e-17,0.9990482215818578,-0.043619387365336,-1.6770818736857587e-21,-3.8410805292387154e-20
0.15,1.0272979112804234e-22,0.02193180625059225,1000.250681692538,1.0064346516008024e-19,0.6227294444974558,7.117830121075435,9.526559047202584e-17,9.577157824845981,109.46741484978996,-3.088075023652321e-17,9.255864018640854e-23,-4.7250847887896686e-17,0.9990482215818578,-0.043619387365336,-1.0518007517901223e-21,-2.408976837523614e-20
0.16,1.1521438507643738e-19,0.028631539635305996,1000.3272599955399,1.1287451111360509e-16,0.7166508724025827,8.191356954381483,1.0684307156331799e-13,9.205030859556429,105.21398417365813,-3.4633640447740386e-14,1.0380714976142232e-19,-5.2993170958159316e-14,0.9990482215818578,-0.04361938736533602,-1.179624483898663e-18,-2.7017360976888232e-17
0.17,4.900556282057705e-18,0.03625221526585228,1000.4143647165793,4.801031521845049e-15,0.8068318660560256,9.222130428572699,4.544488825736389e-12,8.830757624924365,100.93602154273631,-1.473115567592544e-12,4.4153581998319466e-18,-2.2540242407480092e-12,0.9990482215818578,-0.04361938736533675,-5.0174430659882185e-17,-1.1491629102743664e-15
0.18,1.705728814240848e-17,0.04475581095604407,1000.5115612600797,1.6710873895832668e-14,0.8932649849698265,10.21006549849238,1.581792982244712e-11,8.455615280294625,96.64812496441829,-5.127449876556231e-12,1.5368466911037242e-17,-7.845546248530885e-12,0.9990482215818577,-0.043619387365338616,-1.7464134108210764e-16,-3.999873025616596e-15
